"start","Ek.Villain.movie."
2014-03-01,0
2014-03-02,0
2014-03-03,0
2014-03-04,0
2014-03-05,0
2014-03-06,0
2014-03-07,0
2014-03-08,0
2014-03-09,0
2014-03-10,0
2014-03-11,0
2014-03-12,0
2014-03-13,0
2014-03-14,0
2014-03-15,0
2014-03-16,0
2014-03-17,0
2014-03-18,0
2014-03-19,0
2014-03-20,0
2014-03-21,0
2014-03-22,0
2014-03-23,0
2014-03-24,0
2014-03-25,0
2014-03-26,0
2014-03-27,0
2014-03-28,0
2014-03-29,0
2014-03-30,0
2014-03-31,0
2014-04-01,2
2014-04-02,1
2014-04-03,1
2014-04-04,4
2014-04-05,5
2014-04-06,5
2014-04-07,4
2014-04-08,2
2014-04-09,3
2014-04-10,2
2014-04-11,2
2014-04-12,3
2014-04-13,2
2014-04-14,2
2014-04-15,3
2014-04-16,2
2014-04-17,2
2014-04-18,1
2014-04-19,2
2014-04-20,2
2014-04-21,2
2014-04-22,2
2014-04-23,2
2014-04-24,2
2014-04-25,3
2014-04-26,2
2014-04-27,3
2014-04-28,1
2014-04-29,2
2014-04-30,2
2014-05-01,3
2014-05-02,3
2014-05-03,2
2014-05-04,2
2014-05-05,3
2014-05-06,5
2014-05-07,3
2014-05-08,11
2014-05-09,21
2014-05-10,31
2014-05-11,33
2014-05-12,38
2014-05-13,36
2014-05-14,39
2014-05-15,46
2014-05-16,53
2014-05-17,65
2014-05-18,67
2014-05-19,49
2014-05-20,49
2014-05-21,57
2014-05-22,63
2014-05-23,70
2014-05-24,81
2014-05-25,78
2014-05-26,64
2014-05-27,77
2014-05-28,86
2014-05-29,79
2014-05-30,79
2014-05-31,100
