"start","NH.10.movie."
2015-02-01,0
2015-02-02,0
2015-02-03,0
2015-02-04,2
2015-02-05,4
2015-02-06,6
2015-02-07,5
2015-02-08,2
2015-02-09,2
2015-02-10,2
2015-02-11,2
2015-02-12,2
2015-02-13,1
2015-02-14,2
2015-02-15,2
2015-02-16,2
2015-02-17,2
2015-02-18,3
2015-02-19,3
2015-02-20,3
2015-02-21,4
2015-02-22,4
2015-02-23,3
2015-02-24,4
2015-02-25,4
2015-02-26,5
2015-02-27,4
2015-02-28,6
2015-03-01,5
2015-03-02,4
2015-03-03,5
2015-03-04,5
2015-03-05,5
2015-03-06,12
2015-03-07,12
2015-03-08,18
2015-03-09,13
2015-03-10,13
2015-03-11,14
2015-03-12,22
2015-03-13,87
2015-03-14,100
2015-03-15,75
2015-03-16,53
2015-03-17,48
2015-03-18,49
2015-03-19,45
2015-03-20,57
2015-03-21,64
2015-03-22,55
2015-03-23,32
2015-03-24,22
2015-03-25,28
2015-03-26,16
2015-03-27,24
2015-03-28,38
2015-03-29,31
2015-03-30,18
2015-03-31,17
