"start","Gunday.movie."
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-07,1
2013-12-08,1
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,1
2013-12-13,1
2013-12-14,1
2013-12-15,1
2013-12-16,0
2013-12-17,1
2013-12-18,1
2013-12-19,1
2013-12-20,0
2013-12-21,1
2013-12-22,1
2013-12-23,1
2013-12-24,1
2013-12-25,1
2013-12-26,1
2013-12-27,2
2013-12-28,1
2013-12-29,2
2013-12-30,1
2013-12-31,1
2014-01-01,2
2014-01-02,2
2014-01-03,1
2014-01-04,2
2014-01-05,2
2014-01-06,2
2014-01-07,2
2014-01-08,3
2014-01-09,4
2014-01-10,4
2014-01-11,5
2014-01-12,6
2014-01-13,6
2014-01-14,6
2014-01-15,6
2014-01-16,7
2014-01-17,7
2014-01-18,9
2014-01-19,8
2014-01-20,6
2014-01-21,6
2014-01-22,6
2014-01-23,7
2014-01-24,7
2014-01-25,8
2014-01-26,8
2014-01-27,7
2014-01-28,7
2014-01-29,7
2014-01-30,8
2014-01-31,8
2014-02-01,11
2014-02-02,11
2014-02-03,9
2014-02-04,9
2014-02-05,9
2014-02-06,6
2014-02-07,11
2014-02-08,15
2014-02-09,19
2014-02-10,16
2014-02-11,15
2014-02-12,16
2014-02-13,22
2014-02-14,74
2014-02-15,100
2014-02-16,83
2014-02-17,60
2014-02-18,53
2014-02-19,48
2014-02-20,45
2014-02-21,51
2014-02-22,59
2014-02-23,49
2014-02-24,31
2014-02-25,29
2014-02-26,27
2014-02-27,28
2014-02-28,28
