"start","Hamari.Adhuri.Kahani.movie."
2015-04-01,0
2015-04-02,0
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,0
2015-04-07,0
2015-04-08,0
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,0
2015-04-28,0
2015-04-29,0
2015-04-30,0
2015-05-01,0
2015-05-02,0
2015-05-03,0
2015-05-04,2
2015-05-05,4
2015-05-06,4
2015-05-07,3
2015-05-08,4
2015-05-09,6
2015-05-10,7
2015-05-11,7
2015-05-12,6
2015-05-13,8
2015-05-14,8
2015-05-15,10
2015-05-16,13
2015-05-17,11
2015-05-18,11
2015-05-19,12
2015-05-20,12
2015-05-21,13
2015-05-22,14
2015-05-23,16
2015-05-24,15
2015-05-25,13
2015-05-26,12
2015-05-27,12
2015-05-28,13
2015-05-29,14
2015-05-30,15
2015-05-31,14
2015-06-01,12
2015-06-02,11
2015-06-03,14
2015-06-04,15
2015-06-05,17
2015-06-06,19
2015-06-07,17
2015-06-08,15
2015-06-09,17
2015-06-10,20
2015-06-11,25
2015-06-12,75
2015-06-13,100
2015-06-14,88
2015-06-15,64
2015-06-16,64
2015-06-17,62
2015-06-18,53
2015-06-19,52
2015-06-20,62
2015-06-21,51
2015-06-22,38
2015-06-23,35
2015-06-24,33
2015-06-25,33
2015-06-26,36
2015-06-27,44
2015-06-28,36
2015-06-29,29
2015-06-30,28
