"start","Hunterrr.movie."
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0
2015-01-09,0
2015-01-10,0
2015-01-11,0
2015-01-12,0
2015-01-13,0
2015-01-14,0
2015-01-15,2
2015-01-16,2
2015-01-17,2
2015-01-18,3
2015-01-19,2
2015-01-20,2
2015-01-21,1
2015-01-22,1
2015-01-23,1
2015-01-24,1
2015-01-25,1
2015-01-26,1
2015-01-27,1
2015-01-28,0
2015-01-29,0
2015-01-30,1
2015-01-31,1
2015-02-01,0
2015-02-02,1
2015-02-03,1
2015-02-04,1
2015-02-05,1
2015-02-06,1
2015-02-07,1
2015-02-08,1
2015-02-09,0
2015-02-10,1
2015-02-11,2
2015-02-12,2
2015-02-13,1
2015-02-14,1
2015-02-15,1
2015-02-16,1
2015-02-17,1
2015-02-18,1
2015-02-19,1
2015-02-20,1
2015-02-21,1
2015-02-22,1
2015-02-23,1
2015-02-24,1
2015-02-25,1
2015-02-26,2
2015-02-27,2
2015-02-28,2
2015-03-01,3
2015-03-02,1
2015-03-03,2
2015-03-04,2
2015-03-05,3
2015-03-06,2
2015-03-07,2
2015-03-08,3
2015-03-09,3
2015-03-10,2
2015-03-11,3
2015-03-12,5
2015-03-13,6
2015-03-14,6
2015-03-15,10
2015-03-16,9
2015-03-17,10
2015-03-18,11
2015-03-19,14
2015-03-20,69
2015-03-21,100
2015-03-22,76
2015-03-23,65
2015-03-24,48
2015-03-25,61
2015-03-26,42
2015-03-27,54
2015-03-28,69
2015-03-29,49
2015-03-30,41
2015-03-31,43
