"start","Tanu.Weds.Manu.Returns.movie."
2015-04-01,0
2015-04-02,0
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,0
2015-04-07,0
2015-04-08,0
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,1
2015-04-15,2
2015-04-16,2
2015-04-17,1
2015-04-18,1
2015-04-19,1
2015-04-20,1
2015-04-21,1
2015-04-22,1
2015-04-23,1
2015-04-24,2
2015-04-25,2
2015-04-26,1
2015-04-27,1
2015-04-28,1
2015-04-29,2
2015-04-30,2
2015-05-01,2
2015-05-02,1
2015-05-03,2
2015-05-04,1
2015-05-05,1
2015-05-06,1
2015-05-07,2
2015-05-08,1
2015-05-09,2
2015-05-10,2
2015-05-11,2
2015-05-12,1
2015-05-13,2
2015-05-14,2
2015-05-15,2
2015-05-16,3
2015-05-17,3
2015-05-18,2
2015-05-19,2
2015-05-20,3
2015-05-21,9
2015-05-22,51
2015-05-23,92
2015-05-24,81
2015-05-25,69
2015-05-26,60
2015-05-27,63
2015-05-28,67
2015-05-29,71
2015-05-30,100
2015-05-31,85
